solution_id,created_date,answer_code,problem_id,modified_date
1,2022-11-05 15:00:00,"def soluton(num1, num2) :
    answer = num1 * num2
    return answer
",0,2022-11-05 15:00:00
2,2022-11-05 15:00:00,"def soluton(num1, num2) :
    answer = num1 % num2
    return answer
",1,2022-11-05 15:00:00
3,2022-11-05 15:00:00,"def soluton(num1, num2) :
    answer = num1 - num2
    return answer
",2,2022-11-05 15:00:00
4,2022-11-05 15:00:00,"def soluton(num1, num2) :
    if num1 == num2 :
        answer = 1
    else :
        answer = -1
    return answer
",3,2022-11-05 15:00:00
5,2022-11-05 15:00:00,"def soluton(num1, num2) :
    answer = num1 / num2
    answer = int(answer)
    return answer
",4,2022-11-05 15:00:00
7,2022-11-05 15:00:00,"def solution(n):
    n = str(n)
    n = sorted(n, reverse= True) 
    n = ''.join(n)
    answer = int(n)
    return answer",5,2022-11-05 15:00:00
6,2022-11-05 15:00:00,"def solution(numbers):
    answer = 45
    for i in numbers:
        answer -= i
    return answer",6,2022-11-05 15:00:00
8,2022-11-05 15:00:00,"def solution(num1, num2):
    while(num2) :
        num1, num2 = num2, num1%num2
        gcd = num1
    return gcd",7,2022-11-05 15:00:00
9,2022-11-05 15:00:00,"def solution(n):
    answer = 1
    for i in range(1, n//2+1):
        num = 0
        for j in range(i, n+1):
            num += j
            if num == n:
                answer += 1
                break
            if num>n:
                break
    return answer",8,2022-11-05 15:00:00
10,2022-11-05 15:00:00,"def solution(n):
    if n == 0:
        return 0
    elif n == 1 or n == 2:
        return 1
    else:
        return solution(n - 1) + solution(n - 2)",9,2022-11-05 15:00:00
